frame,center_x,center_y,bbox_x,bbox_y,bbox_w,bbox_h,num_points
0,340,275,210,140,260,270,200
1,336,278,206,143,260,270,126
2,333,282,203,147,260,270,91
3,329,287,199,152,260,270,71
4,326,293,196,158,260,270,60
5,324,300,194,165,260,270,53
6,323,305,193,170,260,270,46
7,322,309,192,174,260,270,44
8,321,312,191,177,260,270,41
9,318,314,188,179,260,270,38
10,315,314,185,179,260,270,36
11,311,314,181,179,260,270,35
12,307,313,177,178,260,270,34
13,304,312,174,177,260,270,34
14,301,310,171,175,260,270,34
15,297,308,167,173,260,270,34
16,293,306,163,171,260,270,34
17,289,304,159,169,260,270,34
18,286,301,156,166,260,270,33
19,283,298,153,163,260,270,33
20,280,294,150,159,260,270,33
21,276,290,146,155,260,270,33
22,274,287,144,152,260,270,33
23,273,283,143,148,260,270,33
24,274,278,144,143,260,270,31
25,277,274,147,139,260,270,31
26,284,272,154,137,260,270,30
27,296,271,166,136,260,270,30
28,312,271,182,136,260,270,30
29,328,272,198,137,260,270,30
30,346,273,216,138,260,270,30
31,365,273,235,138,260,270,30
32,384,273,254,138,260,270,30
33,403,273,273,138,260,270,30
34,422,273,292,138,260,270,30
35,442,273,312,138,260,270,30
36,462,274,332,139,260,270,30
37,483,275,353,140,260,270,30
38,505,276,375,141,260,270,30
39,526,277,396,142,260,270,30
40,546,277,416,142,260,270,30
41,566,278,436,143,260,270,30
42,585,278,455,143,260,270,30
43,603,278,473,143,260,270,30
44,621,277,491,142,260,270,30
45,639,276,509,141,260,270,30
46,657,274,527,139,260,270,30
47,675,271,545,136,260,270,30
48,693,269,563,134,260,270,30
49,712,268,582,133,260,270,30
